English,Ukrainian
you,ви
i,я
to,до
it,це
and,і
that,той
in,в
what,що
we,ми
me,мене
this,це
he,він
for,для
my,мій
on,на
have,мати
your,ваш
do,робити
was,був
know,знати
can,може
with,з
but,але
all,все
just,просто
there,там
here,тут
they,Вони
like,подобається
get,отримати
she,вона
go,йти
if,якщо
right,правильно
out,поза
about,про
up,вгору
at,в
him,його
now,тепер
one,один
come,прийти
her,її
how,як
yeah,так
will,буде
got,здобули
want,хочуть
think,думаю
as,як
see,побачити
did,зробив
good,добре
who,хто
why,чому
from,від
let,дозволяти
his,його
yes,так
when,коли
going,йде
time,час
okay,Гаразд
back,назад
look,подивіться
us,нас
would,б
them,їх
where,де
were,були
take,брати
then,потім
had,мав
or,або
been,був
our,наш
gonna,збираюся
tell,розповідати
really,насправді
man,людина
some,дещо
say,казати
hey,привіт
could,міг би
didn,зробив
by,за
need,потреба
something,щось
has,має
too,теж
more,більше
way,спосіб
down,вниз
make,зробити
very,дуже
never,ніколи
only,тільки
people,Люди
over,закінчено
because,оскільки
