English,Ukrainian
you,ви
i,i
the,в
to,до
a,a
s,с
it,це
and,і
that,що
t,t
of,з
is,є
in,в
what,що
we,ми
me,мене
this,це
he,він
for,для
my,мій
on,на
have,мати
your,ваш
do,робити
was,був
m,м
no,немає
not,ні
be,бути
are,є
don,дон
re,повторно
know,знати
can,може
with,з
but,але
all,все
so,так
just,просто
there,там
here,тут
they,Вони
like,люблю
ll,ll
get,отримати
she,вона
go,йти
if,якщо
right,правильно
out,поза
about,приблизно
up,вгору
at,в
him,його
now,тепер
oh,ох
one,один
come,прийти
well,Ну
her,її
how,як
yeah,так
ve,ve
will,буде
got,здобули
want,хочуть
think,думаю
as,як
see,побачити
did,зробив
good,добре
who,ВООЗ
why,чому
from,від
let,дозволяти
his,його
yes,так
when,коли
going,йде
time,час
an,ан
okay,Гаразд
back,назад
look,подивіться
us,нас
would,б
them,їх
where,де
were,були
take,брати
then,потім
had,мав
or,або
been,був
our,наш
gonna,збираюся
tell,розповідати
really,насправді
man,людина
some,дещо
